URL,Label
workingwithwalter.com/wp-admin/images/screenshots/Paypal_Virefication/dffd4f9ad86a8feb2a3e4953e3fbfce4/,bad
checkyourelectricitybill.co.za/BOA/home/confirm.php?cmd=login_submit&amp;id=82d95c154dc3cf8cb3a875d18eb9a21782d95c154dc3cf8cb3a875d18eb9a217&amp;session=82d95c154dc3cf8cb3a875d18eb9a21782d95c154dc3cf8cb3a875d18eb9a217,bad
allendesign.com.au/wp-admin/css/colors/sunrise/newphase/zonalzone/homezone/Outlook.php,bad
3dhabbonovo.rel7.com/,bad
groupetogi.com/css/gerbera/?allegro.pl/czarne-audi-a4-avant-1-9-tdi-116ps-alu16-climatron.html,bad
lugaojian.com/js/?us.battle.net/login/en/?ref=gzzxgxyus.battle.net/d3/en/index&app=com-d3,bad
paypai.com.webscr-cmd-login-submit-id.num.12577615285210450.fast.or.id/PP-846343U98/secure-login/,bad
3cstables.com/en/wp-content/gallery/test/s.p/jkh.html,bad
www.dzjhg.info/page/vote.php?pid=92,bad
equitablebank-ca.com/,bad
ahappytrader.com/order092016/win/loginphpsitedomainsns-webmail.php?rand=13InboxLightaspxn.1774256418,bad
'www.hongchityre.com/hongchi/login.htm?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fpyzfaglus.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3',bad
www.rrtrade.org/pay/pal/fr/comptverified/,bad
goodlandurbanfarms.com/iikilol/iwolplll/wqioappl/nnayywww,bad
services.runescape.com.m-forumslogins.tk/m=forum/forums.ws?154=489&166=2147483248,bad
entertheninja.com/wp-includes/fonts/,bad
cadastro.semprecomcielo.net/,bad
www.fudart.com/eBayISAPI2.dl/index.html?cgi.ebay.com/2008-Cervelo-RS-54cm-Carbon-Road-Bike-MINT-/300466179814?pt=Road_Bikes&hash=item45f52e0ee6,bad
purposehosting.com/workingfiles/Document/index.htm,bad
cafm.mn/french/wp-content/uploads/2012/09/french/webscr.htm?cmd=SignIn&amp;amp;amp;amp;amp;amp;amp;co_partnerId=2&amp;amp;amp;amp;amp;amp;amp;pUserId=&amp;amp;amp;amp;amp;amp;amp;siteid=0&amp;amp;amp;amp;amp;amp;amp;pageType=&amp;amp;amp;amp;amp;am,bad
www.itauseguranca2012.com/,bad
mangmentanisalai.com/BonusCards/BonusCard/,bad
director4u.com/wp-content/upgrade/gov/,bad
amig0slivechats4.blogspot.com/,bad
florimat.com/classe/new/websrc.php?cmd=_login-run&amp;dispatch=5885d80a13c0db1f1ff80d546411d7f84f1036d8f209d3d19ebb6f4eeec8bd0ee392bed5cafe77beb93f0883833b8832e392bed5cafe77beb93f0883833b8832,bad
www.denvercoloradoinfo.com/paypal.com.fr.cgi-bin.webscr.cmd.login.submit.dispatch.5885d80a13c0d.a50598f04d34b4bf5056870803/,bad
icz.co.zw/login.htm,bad
xa.yimg.com/kq/groups/3915273/1601451580/name/Update.html,bad
grahainterieur.com/fmsk/gold/silver/00befb740d9587d910f8b103d5066866/,bad
www.2mvmodel.com/media/c/index.htm,bad
select.rw/wp-content/upgrade/,bad
dk174.ru/wp-content/themes/img/sec1.store.apple.com.shop.login.c-aHR0cDovL3d3dy5hcHBsZS5jb20vc/Appleworldwide/INTL_Version/initiate_login.php?page=Login?tokenw77772e646b3137342e7275d961729f5c3f6235fb287ad964ed4ab6,bad
elizabethfaidley.com/wp-content/themes/Elizabeth/all1.html,bad
ifairneedone.us/yya88h00aa/failnot2016/,bad
jardincaracol.cl/license/webnet,bad
cambuihostel.com/images/yootheme/chase/,bad
www.ozpromos.com.au/sec/,bad
remax.desaibsbeau.net/Remax/remax.htm,bad
keyways.pt/~keyways/1.html,bad
pastehtml.com/view/bhbv9zljz.html,bad
apteka2000.com.pl/erope/aol.htm,bad
'9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7cqKepqkLibThm4crDjMutinjPir9CoeK8c8Z6p7WvHhaVc-iZYOXEr5w1F-FMBgA2iwoXoWSpzUHVbscEtHQuC9tWMSS3VE2b1GDcyQPLfVSBvPSNsk8vTlREQcUPdSn_nT3UdktF2pVoMR2DB-zklJu9Gtq0ZEcxLMTnShsQ_dMxeLd4ADmNaPJY6vB1p7I6WM_59lkxz42Wk0MYmJH65mHkvS6A\%3D\%3D&amp;attredirects=2',bad
kellyscleaningservice.com.au/wp-admin/maint/gmail/,bad
www.56603.com/images/?secure.runescape.com/m=weblogin/loginform.ws?mod=www&amp;aflgjptamp;ssl=0&amp;dest,bad
popprogram.com/,bad
